Concurso,Data,bola 1,bola 2,bola 3,bola 4,bola 5,bola 6
2656.0,18/11/2023,07,27,32,33,36,53
2656.0,14/11/2023,20,24,27,46,57,58
2655.0,11/11/2023,30,31,49,23,56,10
2654.0,09/11/2023,23,17,47,51,36,11
2653.0,07/11/2023,43,48,60,14,41,32
2652.0,04/11/2023,59,45,23,13,29,26
2651.0,01/11/2023,23,59,36,6,35,37
2650.0,28/10/2023,37,58,18,39,29,9
2649.0,26/10/2023,46,32,11,56,6,26
2648.0,24/10/2023,59,45,44,46,56,20
2647.0,21/10/2023,54,33,9,50,39,43
2646.0,19/10/2023,58,28,41,30,18,39
2645.0,17/10/2023,34,59,22,51,42,8
2644.0,14/10/2023,22,30,17,4,49,28
2643.0,10/10/2023,10,29,56,2,59,31
2642.0,07/10/2023,31,8,49,33,50,13
2641.0,05/10/2023,39,9,45,24,50,34
2640.0,03/10/2023,27,32,28,8,4,10
2639.0,30/09/2023,49,22,48,8,11,2
2638.0,28/09/2023,44,55,54,30,34,9
2637.0,26/09/2023,32,34,10,1,59,2
2636.0,23/09/2023,43,16,5,38,42,48
2635.0,21/09/2023,37,29,6,58,56,11
2634.0,19/09/2023,56,8,28,48,32,27
2633.0,16/09/2023,33,45,2,54,25,23
2632.0,14/09/2023,10,57,5,56,38,27
2631.0,12/09/2023,50,53,14,36,26,39
2630.0,09/09/2023,14,18,38,31,26,22
2629.0,05/09/2023,48,40,35,41,11,32
2628.0,02/09/2023,54,32,5,53,40,14
2627.0,31/08/2023,57,31,58,43,13,25
2626.0,29/08/2023,16,13,9,1,59,52
2625.0,26/08/2023,10,35,9,55,58,44
2624.0,24/08/2023,31,58,5,52,37,47
2623.0,22/08/2023,59,35,10,15,20,37
2622.0,19/08/2023,24,22,50,19,60,9
2621.0,16/08/2023,14,47,9,16,42,6
2620.0,12/08/2023,26,21,13,4,6,28
2619.0,09/08/2023,41,5,50,39,44,36
2618.0,05/08/2023,45,17,29,35,48,6
2617.0,02/08/2023,44,42,36,3,14,43
2616.0,29/07/2023,49,38,6,23,35,16
2615.0,27/07/2023,41,23,59,22,7,5
2614.0,25/07/2023,3,25,19,14,13,8
2613.0,22/07/2023,46,40,26,14,42,52
2612.0,19/07/2023,44,50,34,27,54,20
2611.0,15/07/2023,25,18,4,49,21,12
2610.0,12/07/2023,53,55,10,23,34,57
2609.0,08/07/2023,21,35,27,60,3,32
2608.0,05/07/2023,7,13,29,17,52,24
2607.0,01/07/2023,57,25,11,60,7,51
2606.0,29/06/2023,32,45,49,16,10,2
2605.0,27/06/2023,5,54,35,46,11,26
2604.0,24/06/2023,19,16,17,22,46,57
2603.0,21/06/2023,3,56,29,13,52,7
2602.0,17/06/2023,32,30,46,11,16,14
2601.0,14/06/2023,40,8,34,3,44,55
2600.0,10/06/2023,46,4,37,38,60,18
2599.0,07/06/2023,43,28,34,23,60,47
2598.0,03/06/2023,7,53,14,58,60,24
2597.0,31/05/2023,58,56,54,26,14,34
2596.0,27/05/2023,35,47,56,39,51,34
2595.0,24/05/2023,52,13,1,39,50,34
2594.0,20/05/2023,7,55,32,26,49,35
2593.0,17/05/2023,14,17,10,32,25,39
2592.0,13/05/2023,51,35,34,28,15,17
2591.0,11/05/2023,30,28,23,11,21,10
2590.0,09/05/2023,43,36,2,48,28,12
2589.0,06/05/2023,36,1,16,32,15,25
2588.0,03/05/2023,31,22,9,13,57,58
2587.0,29/04/2023,5,22,11,37,10,23
2586.0,26/04/2023,18,49,41,10,59,53
2585.0,22/04/2023,26,43,59,36,34,14
2584.0,19/04/2023,53,12,36,55,5,1
2583.0,15/04/2023,27,59,2,30,20,52
2582.0,12/04/2023,34,10,21,19,14,17
2581.0,08/04/2023,17,14,39,60,32,36
2580.0,05/04/2023,43,36,3,29,13,4
2579.0,01/04/2023,10,26,44,5,35,38
2578.0,29/03/2023,47,59,60,37,50,39
2577.0,25/03/2023,31,44,22,12,50,18
2576.0,22/03/2023,32,29,43,35,38,33
2575.0,18/03/2023,46,4,53,14,12,41
2574.0,16/03/2023,12,43,48,60,44,17
2573.0,14/03/2023,37,6,49,26,32,35
2572.0,11/03/2023,24,22,3,15,7,50
2571.0,08/03/2023,18,51,38,33,9,41
2570.0,04/03/2023,18,26,27,47,50,8
2569.0,01/03/2023,6,7,28,31,25,52
2568.0,25/02/2023,22,29,49,35,16,38
2567.0,23/02/2023,33,10,60,58,11,19
2566.0,18/02/2023,53,23,45,57,11,59
2565.0,16/02/2023,54,13,25,39,9,46
2564.0,14/02/2023,19,14,8,45,32,7
2563.0,11/02/2023,5,50,30,14,9,38
2562.0,08/02/2023,44,32,57,12,51,6
2561.0,04/02/2023,22,44,56,51,37,19
2560.0,01/02/2023,52,48,5,20,17,4
2559.0,28/01/2023,12,32,35,20,9,30
2558.0,25/01/2023,10,25,34,2,18,44
2557.0,21/01/2023,13,3,27,25,16,33
2556.0,18/01/2023,34,10,14,2,6,56
2555.0,14/01/2023,45,58,3,20,52,53
2554.0,12/01/2023,43,19,25,44,48,49
2553.0,10/01/2023,58,54,15,55,13,53
2552.0,07/01/2023,24,38,41,5,33,25
2551.0,04/01/2023,25,43,46,48,1,29
2550.0,31/12/2022,59,34,4,58,10,5
2549.0,17/12/2022,30,10,33,1,6,35
2548.0,14/12/2022,25,23,29,30,9,15
2547.0,10/12/2022,37,10,38,25,31,57
2546.0,07/12/2022,34,3,48,28,23,38
2545.0,03/12/2022,57,36,32,39,20,23
2544.0,30/11/2022,25,56,55,38,45,53
2543.0,26/11/2022,46,5,53,2,27,30
2542.0,24/11/2022,25,22,12,26,55,20
2541.0,22/11/2022,47,45,28,59,10,57
2540.0,19/11/2022,28,8,49,34,41,2
2539.0,16/11/2022,59,36,23,1,33,32
2538.0,12/11/2022,33,15,6,52,20,19
2537.0,09/11/2022,24,26,48,37,12,31
2536.0,05/11/2022,45,9,27,30,33,22
2535.0,03/11/2022,24,56,1,3,51,37
2534.0,29/10/2022,36,56,60,28,44,39
2533.0,26/10/2022,53,20,17,37,45,18
2532.0,22/10/2022,17,14,30,10,18,23
2531.0,20/10/2022,18,56,1,5,49,55
2530.0,18/10/2022,14,28,17,18,30,44
2529.0,15/10/2022,5,57,56,59,32,3
2528.0,13/10/2022,15,60,22,53,56,4
2527.0,08/10/2022,48,56,19,38,29,8
2526.0,05/10/2022,2,59,24,38,16,43
2525.0,01/10/2022,51,47,21,26,13,4
2524.0,28/09/2022,22,37,3,41,43,20
2523.0,24/09/2022,37,45,1,27,10,36
2522.0,21/09/2022,32,4,25,39,40,5
2521.0,17/09/2022,59,23,28,55,33,38
2520.0,15/09/2022,22,41,2,17,60,58
2519.0,13/09/2022,20,8,3,36,57,38
2518.0,10/09/2022,22,23,44,3,60,53
2517.0,08/09/2022,6,1,22,16,5,39
2516.0,03/09/2022,49,17,53,51,8,52
2515.0,31/08/2022,54,3,41,12,45,19
2514.0,27/08/2022,5,15,52,34,45,24
2513.0,24/08/2022,50,21,13,46,35,19
2512.0,20/08/2022,47,52,10,49,34,7
2511.0,17/08/2022,49,39,4,15,41,10
2510.0,13/08/2022,25,32,13,57,8,44
2509.0,10/08/2022,50,8,37,59,39,60
2508.0,06/08/2022,51,45,41,53,58,48
2507.0,04/08/2022,4,34,6,35,12,53
2506.0,02/08/2022,21,44,40,34,22,29
2505.0,30/07/2022,43,26,5,51,3,19
2504.0,27/07/2022,42,14,41,55,44,33
2503.0,23/07/2022,45,43,14,16,38,3
2502.0,20/07/2022,39,21,16,44,20,55
2501.0,16/07/2022,58,32,11,27,59,40
2500.0,13/07/2022,32,55,25,16,5,39
2499.0,09/07/2022,38,11,56,59,47,19
2498.0,06/07/2022,26,47,9,29,46,12
2497.0,02/07/2022,14,5,48,52,46,23
2496.0,30/06/2022,46,31,26,58,38,7
2495.0,28/06/2022,33,41,8,12,30,14
2494.0,25/06/2022,22,1,54,4,10,53
2493.0,22/06/2022,44,4,56,9,37,43
2492.0,18/06/2022,33,10,52,31,42,30
2491.0,15/06/2022,53,48,29,43,38,22
2490.0,11/06/2022,11,16,41,17,46,59
2489.0,08/06/2022,13,10,41,25,42,3
2488.0,04/06/2022,40,34,57,31,17,56
2487.0,02/06/2022,54,42,48,36,23,58
2486.0,31/05/2022,19,8,9,33,17,56
2485.0,28/05/2022,60,12,38,47,5,32
2484.0,25/05/2022,59,36,41,54,14,11
2483.0,21/05/2022,54,49,34,38,40,20
2482.0,18/05/2022,32,1,57,44,35,45
2481.0,14/05/2022,1,37,36,21,8,27
2480.0,11/05/2022,31,56,6,4,50,9
2479.0,07/05/2022,21,10,35,20,17,15
2478.0,04/05/2022,2,23,28,46,17,39
2477.0,30/04/2022,20,49,33,37,50,38
2476.0,28/04/2022,46,49,2,55,7,32
2475.0,26/04/2022,60,45,1,44,58,40
2474.0,23/04/2022,38,30,22,49,56,39
2473.0,20/04/2022,55,15,28,60,42,18
2472.0,16/04/2022,18,5,13,23,36,35
2471.0,13/04/2022,30,8,23,29,55,36
2470.0,09/04/2022,51,8,48,42,33,40
2469.0,06/04/2022,5,55,38,30,28,52
2468.0,02/04/2022,22,41,53,42,35,57
2467.0,30/03/2022,1,10,45,19,35,34
2466.0,26/03/2022,54,53,20,2,13,3
2465.0,23/03/2022,29,54,53,8,3,23
2464.0,19/03/2022,2,43,7,52,24,56
2463.0,16/03/2022,11,31,16,42,51,37
2462.0,12/03/2022,3,16,57,23,45,41
2461.0,09/03/2022,37,32,21,11,16,8
2460.0,05/03/2022,35,18,28,17,16,47
2459.0,03/03/2022,33,49,15,59,24,53
2458.0,26/02/2022,44,47,15,40,51,45
2457.0,24/02/2022,50,49,19,47,10,46
